X (g),Y (g),Z (g),Timestamp
1.07,0.49,0.16,2025-03-11 11:11:39.126637
0.96,0.46,0.13,2025-03-11 11:11:39.141805
0.91,0.44,0.13,2025-03-11 11:11:39.142678
0.87,0.44,0.13,2025-03-11 11:11:39.156780
0.84,0.44,0.15,2025-03-11 11:11:39.186748
0.85,0.45,0.16,2025-03-11 11:11:39.187646
0.87,0.47,0.17,2025-03-11 11:11:39.189068
0.9,0.47,0.18,2025-03-11 11:11:39.216526
0.92,0.47,0.19,2025-03-11 11:11:39.217750
0.95,0.46,0.19,2025-03-11 11:11:39.231652
1.0,0.42,0.19,2025-03-11 11:11:39.246572
1.03,0.4,0.19,2025-03-11 11:11:39.247779
1.04,0.37,0.18,2025-03-11 11:11:39.292202
1.05,0.35,0.18,2025-03-11 11:11:39.292746
1.05,0.33,0.17,2025-03-11 11:11:39.293834
1.05,0.32,0.17,2025-03-11 11:11:39.306545
1.05,0.31,0.16,2025-03-11 11:11:39.307087
1.05,0.31,0.15,2025-03-11 11:11:39.350897
1.05,0.31,0.14,2025-03-11 11:11:39.351790
1.05,0.32,0.13,2025-03-11 11:11:39.366587
1.04,0.33,0.13,2025-03-11 11:11:39.367565
1.02,0.36,0.12,2025-03-11 11:11:39.381524
1.0,0.36,0.11,2025-03-11 11:11:39.395831
0.98,0.37,0.11,2025-03-11 11:11:39.397028
0.95,0.37,0.11,2025-03-11 11:11:39.398065
0.92,0.36,0.12,2025-03-11 11:11:39.399478
0.87,0.34,0.12,2025-03-11 11:11:39.427245
0.85,0.33,0.12,2025-03-11 11:11:39.442260
0.84,0.32,0.12,2025-03-11 11:11:39.442631
0.84,0.31,0.12,2025-03-11 11:11:39.456118
0.85,0.31,0.12,2025-03-11 11:11:39.471701
0.85,0.31,0.12,2025-03-11 11:11:39.472592
0.86,0.3,0.11,2025-03-11 11:11:39.473912
0.87,0.3,0.11,2025-03-11 11:11:39.502136
0.87,0.3,0.11,2025-03-11 11:11:39.502861
0.88,0.3,0.11,2025-03-11 11:11:39.504058
0.87,0.3,0.11,2025-03-11 11:11:39.531657
0.87,0.3,0.11,2025-03-11 11:11:39.546576
0.86,0.3,0.11,2025-03-11 11:11:39.561543
0.85,0.3,0.11,2025-03-11 11:11:39.562835
0.84,0.31,0.11,2025-03-11 11:11:39.591627
0.84,0.32,0.11,2025-03-11 11:11:39.592612
0.84,0.32,0.12,2025-03-11 11:11:39.594429
0.85,0.34,0.13,2025-03-11 11:11:39.621746
0.86,0.34,0.13,2025-03-11 11:11:39.637144
0.87,0.34,0.14,2025-03-11 11:11:39.651063
0.88,0.35,0.14,2025-03-11 11:11:39.652695
0.89,0.35,0.15,2025-03-11 11:11:39.666520
0.9,0.36,0.16,2025-03-11 11:11:39.667662
0.91,0.36,0.16,2025-03-11 11:11:39.681644
0.92,0.36,0.17,2025-03-11 11:11:39.711563
0.93,0.36,0.18,2025-03-11 11:11:39.726960
0.93,0.37,0.18,2025-03-11 11:11:39.727623
0.94,0.37,0.19,2025-03-11 11:11:39.729440
0.94,0.37,0.19,2025-03-11 11:11:39.741739
0.94,0.37,0.2,2025-03-11 11:11:39.771463
0.94,0.38,0.2,2025-03-11 11:11:39.772277
0.93,0.38,0.2,2025-03-11 11:11:39.786521
0.93,0.38,0.21,2025-03-11 11:11:39.787513
0.92,0.38,0.21,2025-03-11 11:11:39.801890
0.92,0.38,0.21,2025-03-11 11:11:39.802749
0.91,0.38,0.22,2025-03-11 11:11:39.804417
0.9,0.38,0.22,2025-03-11 11:11:39.831698
0.9,0.38,0.21,2025-03-11 11:11:39.832891
0.89,0.37,0.21,2025-03-11 11:11:39.861608
0.9,0.37,0.21,2025-03-11 11:11:39.862563
0.9,0.37,0.21,2025-03-11 11:11:39.863918
0.91,0.37,0.22,2025-03-11 11:11:39.876812
0.91,0.37,0.22,2025-03-11 11:11:39.906961
0.91,0.37,0.22,2025-03-11 11:11:39.907890
0.9,0.36,0.22,2025-03-11 11:11:39.908790
0.88,0.36,0.22,2025-03-11 11:11:39.910620
0.87,0.36,0.21,2025-03-11 11:11:39.922060
0.87,0.36,0.2,2025-03-11 11:11:39.936814
0.87,0.35,0.2,2025-03-11 11:11:39.965977
0.87,0.35,0.2,2025-03-11 11:11:39.967030
0.88,0.36,0.2,2025-03-11 11:11:39.981810
0.89,0.36,0.2,2025-03-11 11:11:39.995848
0.89,0.36,0.2,2025-03-11 11:11:39.996799
0.9,0.37,0.19,2025-03-11 11:11:40.011551
0.9,0.38,0.19,2025-03-11 11:11:40.012611
0.89,0.38,0.19,2025-03-11 11:11:40.026728
0.89,0.38,0.19,2025-03-11 11:11:40.056918
0.88,0.38,0.19,2025-03-11 11:11:40.057629
0.87,0.38,0.19,2025-03-11 11:11:40.058937
0.86,0.39,0.19,2025-03-11 11:11:40.071869
0.85,0.39,0.19,2025-03-11 11:11:40.072838
0.85,0.39,0.19,2025-03-11 11:11:40.087122
0.85,0.39,0.19,2025-03-11 11:11:40.088044
0.86,0.4,0.2,2025-03-11 11:11:40.117016
0.86,0.4,0.2,2025-03-11 11:11:40.117620
0.87,0.41,0.21,2025-03-11 11:11:40.119061
0.88,0.41,0.22,2025-03-11 11:11:40.131778
0.9,0.41,0.22,2025-03-11 11:11:40.146669
0.91,0.4,0.22,2025-03-11 11:11:40.160883
0.93,0.4,0.22,2025-03-11 11:11:40.162030
0.95,0.39,0.21,2025-03-11 11:11:40.176870
0.97,0.38,0.21,2025-03-11 11:11:40.191232
1.0,0.38,0.22,2025-03-11 11:11:40.192024
1.02,0.37,0.22,2025-03-11 11:11:40.207124
1.04,0.37,0.23,2025-03-11 11:11:40.221861
1.06,0.37,0.24,2025-03-11 11:11:40.222489
1.07,0.36,0.25,2025-03-11 11:11:40.236827
1.07,0.35,0.26,2025-03-11 11:11:40.251962
1.06,0.34,0.27,2025-03-11 11:11:40.266042
1.04,0.33,0.28,2025-03-11 11:11:40.266893
1.01,0.32,0.27,2025-03-11 11:11:40.268297
0.98,0.31,0.26,2025-03-11 11:11:40.281817
0.94,0.31,0.26,2025-03-11 11:11:40.296605
0.91,0.32,0.27,2025-03-11 11:11:40.297642
0.87,0.33,0.28,2025-03-11 11:11:40.313571
0.84,0.33,0.28,2025-03-11 11:11:40.317544
0.81,0.33,0.28,2025-03-11 11:11:40.341919
0.79,0.33,0.28,2025-03-11 11:11:40.343746
0.78,0.33,0.27,2025-03-11 11:11:40.356628
0.77,0.32,0.26,2025-03-11 11:11:40.357728
0.77,0.32,0.25,2025-03-11 11:11:40.386868
0.77,0.32,0.26,2025-03-11 11:11:40.387711
0.78,0.32,0.27,2025-03-11 11:11:40.416621
0.78,0.32,0.27,2025-03-11 11:11:40.417789
0.78,0.32,0.26,2025-03-11 11:11:40.431700
0.78,0.31,0.26,2025-03-11 11:11:40.445956
0.78,0.32,0.26,2025-03-11 11:11:40.461667
0.78,0.32,0.26,2025-03-11 11:11:40.476589
0.78,0.33,0.27,2025-03-11 11:11:40.490846
0.78,0.33,0.27,2025-03-11 11:11:40.492060
0.79,0.33,0.26,2025-03-11 11:11:40.506512
0.79,0.33,0.26,2025-03-11 11:11:40.520798
0.8,0.34,0.26,2025-03-11 11:11:40.522432
0.81,0.35,0.26,2025-03-11 11:11:40.536490
0.82,0.36,0.25,2025-03-11 11:11:40.537700
0.82,0.37,0.24,2025-03-11 11:11:40.551603
0.83,0.38,0.23,2025-03-11 11:11:40.552994
0.84,0.39,0.23,2025-03-11 11:11:40.567145
0.85,0.39,0.22,2025-03-11 11:11:40.567883
0.86,0.4,0.22,2025-03-11 11:11:40.596584
0.86,0.4,0.21,2025-03-11 11:11:40.597659
0.87,0.41,0.2,2025-03-11 11:11:40.611611
0.88,0.41,0.19,2025-03-11 11:11:40.626293
0.89,0.42,0.19,2025-03-11 11:11:40.627161
0.91,0.43,0.19,2025-03-11 11:11:40.642065
0.93,0.44,0.19,2025-03-11 11:11:40.656436
0.96,0.44,0.18,2025-03-11 11:11:40.657390
1.01,0.44,0.18,2025-03-11 11:11:40.659461
1.06,0.44,0.17,2025-03-11 11:11:40.686962
1.13,0.44,0.17,2025-03-11 11:11:40.688043
1.2,0.45,0.18,2025-03-11 11:11:40.689269
1.26,0.46,0.2,2025-03-11 11:11:40.702055
1.31,0.47,0.23,2025-03-11 11:11:40.717031
1.34,0.49,0.25,2025-03-11 11:11:40.717662
1.34,0.5,0.26,2025-03-11 11:11:40.731582
1.33,0.5,0.26,2025-03-11 11:11:40.746573
1.31,0.5,0.26,2025-03-11 11:11:40.761071
1.29,0.48,0.24,2025-03-11 11:11:40.762073
1.27,0.47,0.22,2025-03-11 11:11:40.776704
1.25,0.46,0.2,2025-03-11 11:11:40.790894
1.24,0.45,0.19,2025-03-11 11:11:40.792698
1.21,0.44,0.19,2025-03-11 11:11:40.806638
1.14,0.43,0.17,2025-03-11 11:11:40.821566
1.09,0.43,0.17,2025-03-11 11:11:40.837073
1.05,0.43,0.17,2025-03-11 11:11:40.851465
1.02,0.43,0.16,2025-03-11 11:11:40.852606
0.99,0.43,0.15,2025-03-11 11:11:40.866796
0.98,0.43,0.14,2025-03-11 11:11:40.867883
0.97,0.42,0.14,2025-03-11 11:11:40.881713
0.97,0.43,0.13,2025-03-11 11:11:40.896560
0.97,0.43,0.13,2025-03-11 11:11:40.911766
0.97,0.42,0.13,2025-03-11 11:11:40.926708
0.98,0.4,0.12,2025-03-11 11:11:40.927694
0.98,0.38,0.11,2025-03-11 11:11:40.942239
0.98,0.35,0.1,2025-03-11 11:11:40.957120
0.97,0.33,0.11,2025-03-11 11:11:40.957851
0.95,0.31,0.12,2025-03-11 11:11:40.971988
0.92,0.29,0.12,2025-03-11 11:11:40.986652
0.88,0.27,0.13,2025-03-11 11:11:40.988030
0.85,0.27,0.12,2025-03-11 11:11:41.001616
0.81,0.26,0.12,2025-03-11 11:11:41.016541
0.78,0.27,0.1,2025-03-11 11:11:41.017922
0.76,0.28,0.09,2025-03-11 11:11:41.031668
0.75,0.29,0.08,2025-03-11 11:11:41.046016
0.73,0.3,0.08,2025-03-11 11:11:41.061722
0.73,0.31,0.08,2025-03-11 11:11:41.076358
0.73,0.31,0.08,2025-03-11 11:11:41.091401
0.73,0.3,0.08,2025-03-11 11:11:41.092144
0.73,0.29,0.08,2025-03-11 11:11:41.107061
0.73,0.27,0.07,2025-03-11 11:11:41.107629
0.73,0.26,0.08,2025-03-11 11:11:41.109364
0.73,0.25,0.08,2025-03-11 11:11:41.121516
0.73,0.24,0.09,2025-03-11 11:11:41.136331
0.73,0.24,0.1,2025-03-11 11:11:41.138145
0.72,0.24,0.1,2025-03-11 11:11:41.151692
0.72,0.23,0.1,2025-03-11 11:11:41.152807
0.71,0.23,0.1,2025-03-11 11:11:41.167111
0.71,0.23,0.09,2025-03-11 11:11:41.167879
0.73,0.23,0.09,2025-03-11 11:11:41.196629
0.75,0.22,0.09,2025-03-11 11:11:41.211648
0.77,0.22,0.09,2025-03-11 11:11:41.226554
0.8,0.22,0.1,2025-03-11 11:11:41.227627
0.83,0.22,0.1,2025-03-11 11:11:41.229370
0.88,0.23,0.11,2025-03-11 11:11:41.257400
0.94,0.23,0.11,2025-03-11 11:11:41.258232
0.99,0.23,0.11,2025-03-11 11:11:41.259993
1.04,0.24,0.12,2025-03-11 11:11:41.301698
1.08,0.25,0.13,2025-03-11 11:11:41.302508
1.1,0.25,0.13,2025-03-11 11:11:41.303938
1.16,0.24,0.1,2025-03-11 11:11:41.316806
1.24,0.24,0.07,2025-03-11 11:11:41.331554
1.31,0.26,0.06,2025-03-11 11:11:41.345992
1.38,0.29,0.07,2025-03-11 11:11:41.347298
1.41,0.32,0.09,2025-03-11 11:11:41.361742
1.4,0.36,0.12,2025-03-11 11:11:41.376297
1.37,0.39,0.14,2025-03-11 11:11:41.377680
1.31,0.42,0.16,2025-03-11 11:11:41.391999
1.22,0.45,0.17,2025-03-11 11:11:41.392707
1.11,0.47,0.16,2025-03-11 11:11:41.407240
1.0,0.47,0.15,2025-03-11 11:11:41.421959
0.91,0.46,0.14,2025-03-11 11:11:41.422814
0.86,0.44,0.14,2025-03-11 11:11:41.437036
0.87,0.42,0.14,2025-03-11 11:11:41.452057
0.91,0.43,0.15,2025-03-11 11:11:41.465969
0.98,0.44,0.15,2025-03-11 11:11:41.466988
1.05,0.46,0.16,2025-03-11 11:11:41.468901
1.12,0.48,0.17,2025-03-11 11:11:41.481707
1.17,0.48,0.18,2025-03-11 11:11:41.496747
1.19,0.48,0.2,2025-03-11 11:11:41.497692
1.13,0.42,0.23,2025-03-11 11:11:41.526605
1.05,0.37,0.23,2025-03-11 11:11:41.527661
0.96,0.32,0.22,2025-03-11 11:11:41.542110
0.87,0.28,0.21,2025-03-11 11:11:41.557075
0.78,0.25,0.2,2025-03-11 11:11:41.571985
0.7,0.24,0.18,2025-03-11 11:11:41.572781
0.64,0.23,0.17,2025-03-11 11:11:41.586957
0.6,0.24,0.15,2025-03-11 11:11:41.588108
0.58,0.26,0.15,2025-03-11 11:11:41.617061
0.56,0.31,0.17,2025-03-11 11:11:41.631522
0.57,0.34,0.18,2025-03-11 11:11:41.632717
0.59,0.34,0.19,2025-03-11 11:11:41.646659
0.6,0.33,0.19,2025-03-11 11:11:41.647717
0.62,0.31,0.18,2025-03-11 11:11:41.661994
0.64,0.28,0.17,2025-03-11 11:11:41.676814
0.66,0.27,0.17,2025-03-11 11:11:41.677782
0.69,0.26,0.17,2025-03-11 11:11:41.691968
0.73,0.27,0.19,2025-03-11 11:11:41.706118
0.81,0.32,0.22,2025-03-11 11:11:41.722101
0.82,0.34,0.23,2025-03-11 11:11:41.736846
0.83,0.36,0.24,2025-03-11 11:11:41.737716
0.83,0.38,0.23,2025-03-11 11:11:41.751743
0.82,0.39,0.22,2025-03-11 11:11:41.752613
0.81,0.39,0.22,2025-03-11 11:11:41.781549
0.8,0.4,0.22,2025-03-11 11:11:41.782529
0.81,0.41,0.23,2025-03-11 11:11:41.784434
0.83,0.42,0.25,2025-03-11 11:11:41.796535
0.86,0.43,0.27,2025-03-11 11:11:41.811563
0.92,0.44,0.28,2025-03-11 11:11:41.826511
0.98,0.45,0.28,2025-03-11 11:11:41.827846
1.06,0.46,0.29,2025-03-11 11:11:41.841529
1.13,0.47,0.3,2025-03-11 11:11:41.856581
1.18,0.48,0.31,2025-03-11 11:11:41.857685
1.2,0.47,0.31,2025-03-11 11:11:41.871560
1.17,0.44,0.3,2025-03-11 11:11:41.872698
1.11,0.38,0.27,2025-03-11 11:11:41.886775
1.05,0.32,0.23,2025-03-11 11:11:41.916095
1.04,0.28,0.21,2025-03-11 11:11:41.916951
1.07,0.28,0.22,2025-03-11 11:11:41.918413
1.13,0.31,0.26,2025-03-11 11:11:41.947049
1.19,0.37,0.3,2025-03-11 11:11:41.947720
1.26,0.43,0.33,2025-03-11 11:11:41.949895
1.37,0.54,0.34,2025-03-11 11:11:41.976670
1.4,0.57,0.33,2025-03-11 11:11:41.977678
1.39,0.55,0.31,2025-03-11 11:11:41.992247
1.29,0.41,0.21,2025-03-11 11:11:42.007028
1.24,0.32,0.14,2025-03-11 11:11:42.007722
1.22,0.25,0.08,2025-03-11 11:11:42.036728
1.23,0.21,0.05,2025-03-11 11:11:42.037690
1.27,0.19,0.05,2025-03-11 11:11:42.051772
1.31,0.19,0.08,2025-03-11 11:11:42.052862
1.32,0.21,0.1,2025-03-11 11:11:42.066976
1.31,0.23,0.11,2025-03-11 11:11:42.081711
1.28,0.26,0.11,2025-03-11 11:11:42.082759
1.24,0.28,0.09,2025-03-11 11:11:42.096562
1.18,0.29,0.07,2025-03-11 11:11:42.097670
1.11,0.3,0.07,2025-03-11 11:11:42.111663
1.03,0.3,0.07,2025-03-11 11:11:42.126662
0.96,0.29,0.07,2025-03-11 11:11:42.127766
0.84,0.26,0.09,2025-03-11 11:11:42.157118
0.8,0.25,0.09,2025-03-11 11:11:42.157837
0.77,0.25,0.09,2025-03-11 11:11:42.172032
0.74,0.24,0.07,2025-03-11 11:11:42.186982
0.72,0.24,0.06,2025-03-11 11:11:42.188077
0.71,0.24,0.05,2025-03-11 11:11:42.201727
0.71,0.24,0.05,2025-03-11 11:11:42.202933
0.73,0.25,0.06,2025-03-11 11:11:42.231941
0.74,0.25,0.07,2025-03-11 11:11:42.246627
0.79,0.23,0.09,2025-03-11 11:11:42.276950
0.79,0.22,0.1,2025-03-11 11:11:42.291987
0.79,0.21,0.11,2025-03-11 11:11:42.292689
0.77,0.21,0.13,2025-03-11 11:11:42.294639
0.76,0.21,0.14,2025-03-11 11:11:42.322113
0.75,0.22,0.15,2025-03-11 11:11:42.322795
0.74,0.22,0.15,2025-03-11 11:11:42.337058
0.75,0.22,0.16,2025-03-11 11:11:42.338096
0.76,0.22,0.16,2025-03-11 11:11:42.351557
0.78,0.22,0.16,2025-03-11 11:11:42.381076
0.8,0.22,0.15,2025-03-11 11:11:42.381977
0.82,0.23,0.13,2025-03-11 11:11:42.383159
0.84,0.23,0.12,2025-03-11 11:11:42.385053
0.86,0.25,0.11,2025-03-11 11:11:42.396735
0.88,0.27,0.12,2025-03-11 11:11:42.411676
0.89,0.28,0.13,2025-03-11 11:11:42.412729
0.89,0.29,0.14,2025-03-11 11:11:42.426735
0.92,0.29,0.13,2025-03-11 11:11:42.442207
0.98,0.29,0.13,2025-03-11 11:11:42.442846
1.19,0.31,0.15,2025-03-11 11:11:42.471979
1.27,0.34,0.17,2025-03-11 11:11:42.473089
1.3,0.36,0.17,2025-03-11 11:11:42.487002
1.31,0.38,0.18,2025-03-11 11:11:42.501986
1.3,0.39,0.18,2025-03-11 11:11:42.503235
1.25,0.4,0.18,2025-03-11 11:11:42.516976
1.18,0.41,0.17,2025-03-11 11:11:42.531711
1.1,0.41,0.17,2025-03-11 11:11:42.532966
1.01,0.4,0.17,2025-03-11 11:11:42.546647
0.94,0.39,0.16,2025-03-11 11:11:42.561709
0.93,0.37,0.15,2025-03-11 11:11:42.562665
0.95,0.37,0.14,2025-03-11 11:11:42.576754
1.0,0.4,0.13,2025-03-11 11:11:42.592154
1.03,0.44,0.12,2025-03-11 11:11:42.592891
1.04,0.47,0.12,2025-03-11 11:11:42.621966
1.02,0.44,0.12,2025-03-11 11:11:42.623147
1.0,0.4,0.12,2025-03-11 11:11:42.637035
0.97,0.36,0.11,2025-03-11 11:11:42.651660
0.91,0.32,0.1,2025-03-11 11:11:42.652619
0.85,0.28,0.09,2025-03-11 11:11:42.667105
0.75,0.25,0.08,2025-03-11 11:11:42.696670
0.71,0.26,0.08,2025-03-11 11:11:42.697783
0.68,0.27,0.1,2025-03-11 11:11:42.711753
0.67,0.29,0.12,2025-03-11 11:11:42.712714
0.67,0.3,0.14,2025-03-11 11:11:42.726819
0.67,0.3,0.14,2025-03-11 11:11:42.741967
0.66,0.29,0.12,2025-03-11 11:11:42.742847
0.65,0.28,0.1,2025-03-11 11:11:42.756834
0.65,0.28,0.08,2025-03-11 11:11:42.757749
0.66,0.28,0.08,2025-03-11 11:11:42.772085
0.67,0.31,0.1,2025-03-11 11:11:42.787033
0.69,0.34,0.15,2025-03-11 11:11:42.787943
0.72,0.37,0.19,2025-03-11 11:11:42.801887
0.75,0.39,0.23,2025-03-11 11:11:42.816717
0.78,0.4,0.24,2025-03-11 11:11:42.831005
0.8,0.41,0.25,2025-03-11 11:11:42.832230
0.82,0.41,0.25,2025-03-11 11:11:42.846525
0.82,0.42,0.25,2025-03-11 11:11:42.847824
0.83,0.41,0.25,2025-03-11 11:11:42.861671
0.83,0.4,0.25,2025-03-11 11:11:42.876754
0.83,0.39,0.25,2025-03-11 11:11:42.892090
0.84,0.38,0.25,2025-03-11 11:11:42.892583
0.84,0.38,0.25,2025-03-11 11:11:42.894049
0.86,0.38,0.25,2025-03-11 11:11:42.922017
0.9,0.4,0.26,2025-03-11 11:11:42.922972
0.96,0.42,0.27,2025-03-11 11:11:42.925222
1.1,0.48,0.29,2025-03-11 11:11:42.952048
1.17,0.51,0.3,2025-03-11 11:11:42.966596
1.22,0.53,0.31,2025-03-11 11:11:42.967701
1.24,0.54,0.31,2025-03-11 11:11:42.982156
1.23,0.54,0.3,2025-03-11 11:11:42.996559
1.22,0.51,0.28,2025-03-11 11:11:42.997667
1.25,0.48,0.24,2025-03-11 11:11:43.011706
1.3,0.46,0.23,2025-03-11 11:11:43.026901
1.35,0.47,0.25,2025-03-11 11:11:43.027635
1.38,0.49,0.29,2025-03-11 11:11:43.042117
1.38,0.52,0.31,2025-03-11 11:11:43.042782
1.35,0.54,0.32,2025-03-11 11:11:43.071853
1.31,0.56,0.3,2025-03-11 11:11:43.072756
1.27,0.58,0.28,2025-03-11 11:11:43.087020
1.21,0.59,0.26,2025-03-11 11:11:43.087849
1.14,0.58,0.23,2025-03-11 11:11:43.102160
1.07,0.55,0.19,2025-03-11 11:11:43.116681
1.03,0.5,0.15,2025-03-11 11:11:43.117993
1.03,0.47,0.13,2025-03-11 11:11:43.131753
1.06,0.46,0.12,2025-03-11 11:11:43.132847
1.15,0.47,0.13,2025-03-11 11:11:43.161765
1.19,0.46,0.13,2025-03-11 11:11:43.176711
1.21,0.45,0.12,2025-03-11 11:11:43.177811
1.23,0.44,0.12,2025-03-11 11:11:43.179520
1.23,0.43,0.11,2025-03-11 11:11:43.206847
1.21,0.42,0.1,2025-03-11 11:11:43.207782
1.17,0.39,0.08,2025-03-11 11:11:43.222000
1.11,0.37,0.07,2025-03-11 11:11:43.222860
1.04,0.35,0.05,2025-03-11 11:11:43.237762
0.98,0.33,0.04,2025-03-11 11:11:43.252547
0.92,0.32,0.03,2025-03-11 11:11:43.253046
0.87,0.32,0.03,2025-03-11 11:11:43.266727
0.83,0.32,0.04,2025-03-11 11:11:43.281574
0.81,0.32,0.04,2025-03-11 11:11:43.310972
0.78,0.33,0.04,2025-03-11 11:11:43.311923
0.77,0.33,0.04,2025-03-11 11:11:43.313788
0.75,0.3,0.04,2025-03-11 11:11:43.326674
0.75,0.29,0.03,2025-03-11 11:11:43.342091
0.75,0.27,0.03,2025-03-11 11:11:43.356503
0.76,0.25,0.03,2025-03-11 11:11:43.357937
0.77,0.23,0.03,2025-03-11 11:11:43.386717
0.78,0.22,0.03,2025-03-11 11:11:43.387691
0.79,0.21,0.02,2025-03-11 11:11:43.389311
0.81,0.19,0.02,2025-03-11 11:11:43.416549
0.81,0.18,0.02,2025-03-11 11:11:43.417745
0.81,0.19,0.03,2025-03-11 11:11:43.446503
0.8,0.19,0.04,2025-03-11 11:11:43.447817
0.78,0.2,0.04,2025-03-11 11:11:43.461519
0.77,0.2,0.04,2025-03-11 11:11:43.462632
0.76,0.2,0.04,2025-03-11 11:11:43.476484
0.76,0.2,0.04,2025-03-11 11:11:43.477700
0.78,0.2,0.04,2025-03-11 11:11:43.491541
0.82,0.2,0.04,2025-03-11 11:11:43.506527
0.9,0.21,0.04,2025-03-11 11:11:43.521611
0.93,0.23,0.05,2025-03-11 11:11:43.537109
0.96,0.24,0.06,2025-03-11 11:11:43.538078
0.97,0.24,0.07,2025-03-11 11:11:43.552135
0.99,0.23,0.08,2025-03-11 11:11:43.567002
1.03,0.22,0.07,2025-03-11 11:11:43.567819
1.08,0.22,0.07,2025-03-11 11:11:43.581596
1.14,0.23,0.07,2025-03-11 11:11:43.596605
1.19,0.24,0.08,2025-03-11 11:11:43.597710
1.21,0.26,0.09,2025-03-11 11:11:43.611859
1.22,0.28,0.12,2025-03-11 11:11:43.626983
1.2,0.31,0.14,2025-03-11 11:11:43.642116
1.15,0.34,0.16,2025-03-11 11:11:43.642807
1.08,0.35,0.15,2025-03-11 11:11:43.656951
1.01,0.36,0.14,2025-03-11 11:11:43.657768
0.96,0.35,0.13,2025-03-11 11:11:43.672031
0.93,0.34,0.11,2025-03-11 11:11:43.673443
0.94,0.34,0.11,2025-03-11 11:11:43.702059
0.98,0.35,0.11,2025-03-11 11:11:43.703158
1.04,0.37,0.13,2025-03-11 11:11:43.716768
1.1,0.4,0.15,2025-03-11 11:11:43.730832
1.15,0.44,0.17,2025-03-11 11:11:43.732059
1.18,0.46,0.19,2025-03-11 11:11:43.746669
1.19,0.46,0.18,2025-03-11 11:11:43.747827
1.17,0.44,0.15,2025-03-11 11:11:43.761805
1.13,0.42,0.13,2025-03-11 11:11:43.776967
1.07,0.39,0.12,2025-03-11 11:11:43.777716
0.99,0.38,0.12,2025-03-11 11:11:43.792125
0.91,0.37,0.14,2025-03-11 11:11:43.793058
0.85,0.36,0.15,2025-03-11 11:11:43.807030
0.79,0.36,0.16,2025-03-11 11:11:43.821963
0.74,0.36,0.17,2025-03-11 11:11:43.823089
0.7,0.36,0.17,2025-03-11 11:11:43.837102
0.67,0.37,0.16,2025-03-11 11:11:43.852127
0.65,0.37,0.15,2025-03-11 11:11:43.852892
0.63,0.37,0.15,2025-03-11 11:11:43.866722
0.62,0.38,0.15,2025-03-11 11:11:43.881592
0.62,0.38,0.15,2025-03-11 11:11:43.882692
0.62,0.39,0.16,2025-03-11 11:11:43.896774
0.62,0.39,0.17,2025-03-11 11:11:43.911705
0.64,0.38,0.19,2025-03-11 11:11:43.912763
0.66,0.38,0.19,2025-03-11 11:11:43.926831
0.68,0.37,0.19,2025-03-11 11:11:43.942194
